FileName,Size(bytes),RecordCount
sample28.txt,410,24
sample29.txt,552,34
sample27.txt,392,23
sample26.txt,551,33
sample30.txt,651,39
sample24.txt,131,8
sample25.txt,81,5
sample21.txt,270,16
sample22.txt,217,13
sample23.txt,236,14
sample10.txt,650,38
sample8.txt,410,24
sample9.txt,550,32
data.zip, , 
sample12.txt,217,13
sample13.txt,236,14
sample11.txt,270,16
sample14.txt,131,8
sample15.txt,81,5
sample17.txt,392,23
sample16.txt,550,32
sample18.txt,410,24
sample19.txt,550,32
sample20.txt,650,38
sample7.txt,392,23
sample6.txt,550,32
sample4.txt,131,8
sample5.txt,81,5
sample1.txt,270,16
sample2.txt,217,13
sample3.txt,236,14
